,day,depot,list_plants,list_pickups,list_dropoffs,total_jobs,total_distance,routing_sequence,worst_edge_pickup,worst_edge_distance,worst_edge_dropoff,edges,distance_uptodate
0,16485,Neuherberg,['Neuherberg'],[],['20157_9000022419'],0,0,[],,,0,0,True
1,16527,Neuherberg,[],[],[],0,0,[],,,0,0,True
2,16528,Neuherberg,[],[],[],0,0,[],,,0,0,True
3,16535,Neuherberg,['Neuherberg'],[],['20330_9000051174'],0,0,[],,,0,0,True
4,16544,Neuherberg,['Neuherberg'],[],['20023_9000057132'],0,0,[],,,0,0,True
5,16555,Neuherberg,[],[],[],0,0,[],,,0,0,True
6,16561,Neuherberg,[],[],[],0,0,[],,,0,0,True
7,16573,Neuherberg,[],[],[],0,0,[],,,0,0,True
8,16581,Neuherberg,['Neuherberg'],[],['29270_9000079062'],0,0,[],,,0,0,True
9,16584,Neuherberg,[],[],[],0,0,[],,,0,0,True
10,16586,Neuherberg,[],[],[],0,0,[],,,0,0,True
11,16588,Neuherberg,[],[],[],0,0,[],,,0,0,True
12,16597,Neuherberg,[],[],[],0,0,[],,,0,0,True
13,16599,Neuherberg,[],[],[],0,0,[],,,0,0,True
14,16601,Neuherberg,[],[],[],0,0,[],,,0,0,True
15,16607,Neuherberg,['Neuherberg'],[],['29162_9000096268'],0,0,[],,,0,0,True
16,16610,Neuherberg,[],[],[],0,0,[],,,0,0,True
17,16612,Neuherberg,[],[],[],0,0,[],,,0,0,True
18,16616,Neuherberg,[],[],[],0,0,[],,,0,0,True
19,16617,Neuherberg,['Neuherberg'],[],['50120_9000101341'],0,0,[],,,0,0,True
20,16618,Neuherberg,['Neuherberg'],[],['29133_9000103588'],0,0,[],,,0,0,True
21,16619,Neuherberg,[],[],[],0,0,[],,,0,0,True
22,16622,Neuherberg,[],[],[],0,0,[],,,0,0,True
23,16626,Neuherberg,['Neuherberg'],[],['29254_9000109466'],0,0,[],,,0,0,True
24,16630,Neuherberg,[],[],[],0,0,[],,,0,0,True
25,16632,Neuherberg,[],[],[],0,0,[],,,0,0,True
26,16633,Neuherberg,[],[],[],0,0,[],,,0,0,True
27,16635,Neuherberg,['Neuherberg'],[],['20553_9000115779'],0,0,[],,,0,0,True
28,16636,Neuherberg,[],[],[],0,0,[],,,0,0,True
29,16637,Neuherberg,[],[],[],0,0,[],,,0,0,True
30,16640,Neuherberg,[],[],[],0,0,[],,,0,0,True
31,16642,Neuherberg,['Neuherberg'],[],['29500_9000120572'],0,0,[],,,0,0,True
32,16644,Neuherberg,['Neuherberg'],[],"['19249_9000121462', '29017_9000121539']",0,0,[],,,0,0,True
33,16645,Neuherberg,['Neuherberg'],[],['19920_9000122096'],0,0,[],,,0,0,True
34,16648,Neuherberg,[],[],[],0,0,[],,,0,0,True
35,16649,Neuherberg,['Neuherberg'],[],['50033_9000120415'],0,0,[],,,0,0,True
36,16652,Neuherberg,['Neuherberg'],[],['20156_9000127886'],0,0,[],,,0,0,True
37,16656,Neuherberg,['Neuherberg'],[],['29226_9000127959'],0,0,[],,,0,0,True
38,16658,Neuherberg,['Neuherberg'],[],['9015_9000131401'],0,0,[],,,0,0,True
39,16659,Neuherberg,['Neuherberg'],[],['20515_9000131587'],0,0,[],,,0,0,True
